spoid,name,type
STB60187184,AJ Institute of Engineering and Technology,Student Branch
SCH60187184,AJ Institute of Engineering and Technology,Academic
SBC60187184,"AJ Institute of Engineering and Technology,C16",Student Branch Chapter
SBC60187184B,"AJ Institute of Engineering and Technology,CEDA44",Student Branch Chapter
SBC60187184A,"AJ Institute of Engineering and Technology,GRS29",Student Branch Chapter
SBA60187184,"AJ Institute of Engineering and Technology,WIE",Affinity
SBC10651C,"Ajay Kumar Garg Engg College-Ghaziabad,CIS11",Student Branch Chapter
SBC10651,"Ajay Kumar Garg Engg College-Ghaziabad,COM19",Student Branch Chapter
STB10651,Ajay Kumar Garg Engineering College-Ghaziabad,Student Branch
SCH10651,Ajay Kumar Garg Engineering College-Ghaziabad,Academic
SBC10651D,"Ajay Kumar Garg Engineering College-Ghaziabad,C16",Student Branch Chapter
SBC10651B,"Ajay Kumar Garg Engineering College-Ghaziabad,IA34",Student Branch Chapter
SBC10651A,"Ajay Kumar Garg Engineering College-Ghaziabad,PE31",Student Branch Chapter
SBA10651,"Ajay Kumar Garg Engineering College-Ghaziabad,WIE",Affinity
SCH60236107,Ajloun National University,Academic
SCH60242176,Ajloun University College-Balqa Applied University,Academic
STB64101,Ajman University,Student Branch
SCH64101,Ajman University,Academic
SBA64101,"Ajman University, WIE",Affinity
SCH20441,Ajou University,Academic
STB20441,Ajou University,Student Branch
STB11361,Akanu Ibiam Federal Polythecnic,Student Branch
SCH11361,Akanu Ibiam Federal Polythecnic,Academic
SCH60101455,Akashi National College of Technology,Academic
STB17101,Akhbar EI-Yom Academy,Student Branch
SCH17101,Akhbar El-Yom Academy,Academic
SCH60101457,Akita National College of Technology,Academic
SCH60136186,Akita Prefectural University,Academic
SCH2592403,Akita University,Academic
R20001,Akron Section,Section
CH02003,"Akron Section Chapter,IA34",Chapter
CH02002,"Akron Section Chapter,PE31",Chapter
A6194,Akron Tech And Community College U Of,Academic
SCH41512354,Al Ahgaff University,Academic
SCH13501,Al Ain University,Academic
STB13501,Al Ain University,Student Branch
SCH41397368,Al Akhawayn University,Academic
STB41397368,Al Akhawayn University,Student Branch
SBA41397368,"Al Akhawayn University,WIE",Affinity
SCH60202186,Al al-Bayt University,Academic
STB60202186,Al al-Bayt University,Student Branch
SBC60202186,"Al al-Bayt University,C16",Student Branch Chapter
SBA60202186,"Al al-Bayt University,WIE",Affinity
SCH60216527,Al Ayen University,Academic
SCH60233005,Al Buraimi University College,Academic
STB60233005,Al Buraimi University College,Student Branch
SCH60216528,Al Farabi Kazakh National University,Academic
SCH08831,Al Ghurair University,Academic
STB08831,Al Ghurair University,Student Branch
SCH60201525,Al Jouf University,Academic
STB60114049,Al Maaref University,Student Branch
SCH60107921,Al Musanna College of Technology,Academic
STB20135,Al Musannah College of Technology,Student Branch
SCH20135,Al Mussanah College of Technology,Academic
SCH60204128,Al Muthanna University,Academic
STB63951,Al-Ahliyya Amman University,Student Branch
SCH63951,Al-Ahliyya Amman University,Academic
SBC63951,"Al-Ahliyya Amman University,C16",Student Branch Chapter
STB10891,Al-Ameen Engineering College,Student Branch
SCH10891,Al-Ameen Engineering College,Academic
SCH60234166,Al-Anbar University,Academic
SCH41441101,Al-Azhar University,Academic
STB12931,Al-Azhar University,Student Branch
SCH12931,Al-Azhar University,Academic
SCH18401,Al-Azhar University - Faculty of Engineering,Academic
STB18401,Al-Azhar University - Faculty of Engineering,Student Branch
STB05271,Al-Azhar University - Gaza,Student Branch
SCH05271,Al-Azhar University - Gaza,Academic
SBC63021A,"Al-Balqa Applied Univ, PE31/IA34",Student Branch Chapter
SCH63021,Al-Balqa Applied University,Academic
STB63021,Al-Balqa Applied University,Student Branch
SCH10087,Al-Balqa Applied University - Center,Academic
STB10087,Al-Balqa Applied University - Center,Student Branch
SBC10087,"Al-Balqa Applied University - Center,C16",Student Branch Chapter
SBC10087A,"Al-Balqa Applied University - Center,RA24",Student Branch Chapter
SBA10087,"Al-Balqa Applied University - Center,WIE",Affinity
SBA63021,"Al-Balqa Applied University,  WIE",Affinity
SBC63021B,"Al-Balqa Applied University, C16",Student Branch Chapter
SBC63021C,"Al-Balqa Applied University, RA24",Student Branch Chapter
SBA63021S,"Al-Balqa Applied University, SIGHT",Affinity
SBC63021F,"Al-Balqa Applied University,AES10",Student Branch Chapter
SBC63021D,"Al-Balqa Applied University,COM19",Student Branch Chapter
SBC63021E,"Al-Balqa Applied University,SP01",Student Branch Chapter
SCH01039,Al-Huson University College,Academic
STB01039,Al-Huson University College,Student Branch
SBA01039S,"Al-Huson University College, SIGHT",Affinity
SBC01039A,"Al-Huson University College,AP03",Student Branch Chapter
SBC01039,"Al-Huson University College,C16",Student Branch Chapter
SBA01039,"Al-Huson University College,WIE",Affinity
SCH16739,Al-Hussein Bin Talal University,Academic
STB16739,Al-Hussein Bin Talal University,Student Branch
SBC16739,"Al-Hussein Bin Talal University,C16",Student Branch Chapter
SBC16739A,"Al-Hussein Bin Talal University,RA24",Student Branch Chapter
SCH11439,Al-Hussein Technical University,Academic
STB11439,Al-Hussein Technical University,Student Branch
SBC11439,"Al-Hussein Technical University,RA24",Student Branch Chapter
SCH40059634,Al-Isra Univiversity,Academic
SCH60099104,Al-Madinah International University,Academic
SCH45892028,Al-Nahrain University,Academic
A38376,Al-Najah University,Academic
SCH10138,Al-Neelain University,Academic
STB10138,Al-Neelain University,Student Branch
SCH11301,Al-Quds Open University,Academic
STB09331,Al-Quds University,Student Branch
SCH09331,Al-Quds University,Academic
SCH60221465,Al-Razi University,Academic
SCH11438,Al-Yamamah University,Academic
STB11438,Al-Yamamah University,Student Branch
STB10006,Al-Zaytoonah Univ Of Jordan,Student Branch
SBC10006,"Al-Zaytoonah Univ Of Jordan,SP01/COM19",Student Branch Chapter
SCH10006,Al-Zaytoonah University of Jordan,Academic
SBC10006A,"Al-Zaytoonah University of Jordan,C16",Student Branch Chapter
SBC10006B,"Al-Zaytoonah University of Jordan,RA24",Student Branch Chapter
SBA10006,"Al-Zaytoonah University of Jordan,WIE",Affinity
SBA34131,"Alabama A&M Univ, WIE",Affinity
STB34131,Alabama A&M University,Student Branch
A7466,Alabama A&M University,Academic
A7968,Alabama Aviation And Tech College,Academic
R30001,Alabama Section,Section
LM30001,"Alabama Section Affinity Group, LM",Affinity
YP30001,"Alabama Section Affinity Group, YP",Affinity
CH03001,"Alabama Section Chapter, C16",Chapter
CH03002,"Alabama Section Chapter, COM19",Chapter
CH03004,"Alabama Section Chapter, IA34",Chapter
CH03223,"Alabama Section Chapter, MAG33",Chapter
CH03003,"Alabama Section Chapter,PE31",Chapter
A1873,Alabama State Univ,Academic
A13714,Alabama Univ Birmingham,Academic
R60003,Alamogordo-Holloman Section,Section
SCH60145564,Aland University of Applied Sciences,Academic
