spoid,name,type
SBA60206188,"Kalpataru Institute Of Technology-Tiptur,WIE",Affinity
SCH15871,Kalyani Government Engineering College,Academic
STB15871,Kalyani Government Engineering College,Student Branch
SBC15871B,"Kalyani Government Engineering College,CIS11",Student Branch Chapter
SBC15871A,"Kalyani Government Engineering College,ED15",Student Branch Chapter
SBC15871C,"Kalyani Government Engineering College,SMC28",Student Branch Chapter
SCH64511,Kamaraj College of Eng & Tech,Academic
SCH35871,Kamla Nehru Inst of Tech,Academic
SCH2533813,Kanazawa Engineering College,Academic
SCH45891585,Kanazawa Institute of Technology,Academic
SCH2599253,Kanazawa Univ,Academic
SCH41429897,Kangnam Univ,Academic
A3220,Kankakee Community College,Academic
CH10996,"Kansai and Nagoya Jt Section Chapter,PSE43",Joint Chapter
R00983,Kansai Section,Section
LM00983,"Kansai Section Affinity Group, LM",Affinity
YP00983,"Kansai Section Affinity Group, YP",Affinity
WE00983,"Kansai Section Affinity Group,WIE",Affinity
CH10594,"Kansai Section Chapter, CS23",Chapter
CH10402,"Kansai Section Chapter, PHO36",Chapter
CH10388,"Kansai Section Chapter,C16",Chapter
CH10285,"Kansai Section Chapter,CAS04",Chapter
CH10387,"Kansai Section Chapter,COM19",Chapter
CH10385,"Kansai Section Chapter,MTT17",Chapter
CH10433,"Kansai Section Chapter,SP01",Chapter
CH10263,"Kansai Section,ED15",Chapter
CH10264,"Kansai Section,SSC37",Chapter
STB07301,Kansai University,Student Branch
SCH07301,Kansai University,Academic
CH10384,"Kansai/Hiroshima/Shikoku Jt Sections Chapter, AP03",Joint Chapter
CH10036,"Kansai/Japan Sections Jt Chap,IE13",Joint Chapter
CH10453,"Kansai/Nagoya/Hiroshima/Shikoku/Fukuoka, CT08",Joint Chapter
CH10727,"Kansai/Shikoku Joint Sections Chapter, MAG33",Joint Chapter
YP50019,"Kansas City Affinity Grp,YP",Affinity
A1238,Kansas City Kansas Community College,Academic
R50019,Kansas City Section,Section
LM50019,"Kansas City Section Affinity Group,LM",Affinity
CH05079,"Kansas City Section Chapter, C16",Chapter
CH05075,"Kansas City Section Chapter, COM19",Chapter
CH05052,"Kansas City Section Chapter, PE31/IA34",Joint Chapter
A17224,Kansas Newman College,Academic
STB00811,Kansas State Univ,Student Branch
A14422,Kansas State Univ,Academic
SBC0081B,"Kansas State Univ, EMB18",Student Branch Chapter
SBC0081C,"Kansas State Univ,IA34/PEL35/PE31",Student Branch Chapter
SBC00811,"Kansas State Univ,PE31",Student Branch Chapter
A7335,Kansas State Univ-Salina,Academic
HKN034,"Kansas State University, Beta Kappa",Affinity
A5466,Kansas Tech Inst,Academic
A9441,Kansas Univ Medical Center,Academic
SBC008211,"Kansas Univ of,AES10",Student Branch Chapter
SCH60242761,Kantipur Engineering College,Academic
SCH2516273,Kanto Gakuin Univ,Academic
A9238,Kaplan Univ,Academic
STB07961,Karachi Inst of Economics & Tech,Student Branch
SCH07961,Karachi Institute of Economics & Technology,Academic
R00041,Karachi Section,Section
YP00041,"Karachi Section Affinity Group, YP",Affinity
WE00041,"Karachi Section Affinity Group,WIE",Affinity
CH10249,"Karachi Section Chapter, C16",Chapter
CH10747,"Karachi Section Chapter, PE31",Chapter
CH10269,"Karachi Section Chapter,COM19",Chapter
CH11066,"Karachi Section Chapter,E25",Chapter
CH10987,"Karachi Section Chapter,IE13",Chapter
CH11084,"Karachi Section Chapter,MTT17",Chapter
SIGHT018,Karachi Section SIGHT,Affinity
SCH64941,Karadeniz Technical University,Academic
STB64941,Karadeniz Technical University,Student Branch
SBC64941,"Karadeniz Technical University, COM19",Student Branch Chapter
SBA64941,"Karadeniz Technical University, WIE",Affinity
SCH2517653,Karaganda State Technical University,Academic
SCH2540493,Karel de Grote University of Applied Sciences&Arts,Academic
SCH41658413,Karelia University of Applied Sciences,Academic
SCH40350954,Karl Franzens University,Academic
SCH02641,Karlsruhe Institute of Technology,Academic
STB02641,Karlsruhe Institute of Technology,Student Branch
SCH2533213,Karlsruhe Institute Of Technology,Academic
SCH40020854,Karlstad University,Academic
SCH2592123,Karnatak Univ,Academic
A34235,Karolinska Institute,Academic
STB64291,Karpagam College of Engineering,Student Branch
SCH64291,Karpagam College of Engineering,Academic
SBC64291B,"Karpagam College of Engineering,CAS04",Student Branch Chapter
SBC64291F,"Karpagam College of Engineering,CIS11",Student Branch Chapter
SBC64291D,"Karpagam College of Engineering,COM19",Student Branch Chapter
SBC64291C,"Karpagam College of Engineering,IT12",Student Branch Chapter
SBC64291G,"Karpagam College of Engineering,PE31",Student Branch Chapter
SBC64291,"Karpagam College of Engineering,SEN39",Student Branch Chapter
SBC64291E,"Karpagam College of Engineering,SP01",Student Branch Chapter
SBC64291A,"Karpagam College of Engineering,SYS45",Student Branch Chapter
SBA64291,"Karpagam College of Engineering,WIE",Affinity
SCH31061,Karunya Inst of Technology & Sciences,Academic
STB31061,Karunya Inst of Technology & Sciences,Student Branch
SBC31061B,"Karunya Inst of Technology & Sciences,AP03",Student Branch Chapter
SBC31061E,"Karunya Inst of Technology & Sciences,C16",Student Branch Chapter
SBC31061F,"Karunya Inst of Technology & Sciences,EMB18",Student Branch Chapter
SBC31061,"Karunya Inst of Technology & Sciences,IM09",Student Branch Chapter
SBC31061A,"Karunya Inst of Technology & Sciences,PEL35",Student Branch Chapter
SBC31061D,"Karunya Inst of Technology & Sciences,SP01",Student Branch Chapter
SBC31061C,"Karunya Inst of Technology & Sciences,VT06",Student Branch Chapter
SCH17371,Kasetsart Univ,Academic
STB17371,Kasetsart Univ,Student Branch
SBA17371,"Kasetsart Univ, WIE",Affinity
SBC17371,"Kasetsart Univ,PE31",Student Branch Chapter
SCH2518373,Kashmir Univ Of,Academic
1-2XTR5PM,Kaskaskia College,Academic
A4408,Katherine Gibbs School,Academic
SCH60227961,Kathmandu Engineering College,Academic
STB60227961,Kathmandu Engineering College,Student Branch
SCH41353733,Kathmandu University,Academic
STB41353733,Kathmandu University,Student Branch
SCH2540513,Katholieke Industriele Hogeschool Kateinjne-W,Academic
SCH2540483,Katholieke Industriele Hogeschool West Via,Academic
SCH09181,Katholieke Universiteit Leuven,Academic
STB09181,Katholieke Universiteit Leuven,Student Branch
SBC09181C,"Katholieke Universiteit Leuven,AP03,COM19,MTT17",Student Branch Chapter
SBC09181A,"Katholieke Universiteit Leuven,IA34/IE13",Student Branch Chapter
SBC091811,"Katholieke Universiteit Leuven,PE31",Student Branch Chapter
SBC09181D,"Katholieke Universiteit Leuven,PEL35",Student Branch Chapter
SBC09181B,"Katholieke Universiteit Leuven,SSC37",Student Branch Chapter
SBA09181,"Katholieke Universiteit Leuven,WIE",Affinity
SCH2509583,Kaunas University of Technology,Academic
STB01018,Kaunas University of Technology,Student Branch
SCH01018,Kaunas University of Technology,Academic
WE80021,"Kazakhstan Affinity Group,WIE",Affinity
YP80021,"Kazakhstan Affinity Group,YP",Affinity
CH08134,Kazakhstan Jt Chap ED/C/SP/PE/PHO/IE/COM/RA/SEN,Joint Chapter
CH08138,"Kazakhstan Jt. Chap,EP21/MTT17/AP03/CAS04/RFID741",Joint Chapter
CH08139,"Kazakhstan Jt. Chapter,CIS11/RA24",Joint Chapter
R80021,Kazakhstan Section,Section
SCH41439769,Kazan National Research Technological University,Academic
SCH2595243,Kazimierz Pulaski University of Radom,Academic
SCH2531343,Kb Hiray Engrg College/Poona Univ,Academic
SCH60098903,KCA University,Academic
STB99098,KCT Engineering College,Student Branch
SCH99098,KCT Engineering College,Academic
SBC99098,"KCT Engineering College,IT12",Student Branch Chapter
SCH20140,KDU - Gen. Sir John Kotelawala Defence University,Academic
SCH60034522,KDU College,Academic
A17407,Kean University,Academic
SBC33471B,"Kebangsaan Malaysia Univ Of,ED15",Student Branch Chapter
SBC33471A,"Kebangsaan Malaysia Univ Of,IA34",Student Branch Chapter
SBC33471,"Kebangsaan Malaysia Univ Of,PE31",Student Branch Chapter
A5215,Keck Graduate Inst,Academic
SCH2540903,Keele University,Academic
1-7VN12P2,Keene State College,Academic
A4648,Keewatin Community College,Academic
SCH60060752,Keimyung University,Academic
SCH00831,Keio University,Academic
STB00831,Keio University,Student Branch
A11264,Keiser College,Academic
A9450,Keller Graduate School,Academic
A9247,Kellogg School Of Science & Tech,Academic
SCH41658407,Kemi-Tornio Polytechnic,Academic
A13706,Kendall College,Academic
A190,Kennedy King College,Academic
A42651,Kennedy Western Univ,Academic
STB01851,Kennesaw State University,Student Branch
A3202,Kennesaw State University,Academic
SBC01851,"Kennesaw State University, C16",Student Branch Chapter
SBC01851A,"Kennesaw State University, RA24",Student Branch Chapter
HKN269,"Kennesaw State University,Nu Epsilon",Affinity
A10334,Kensington Univ,Academic
A10112,Kent State Univ,Academic
STB28132,Kent State Univ-Tuscarawas,Student Branch
A12581,Kent State Univ-Tuscarawas,Academic
1-1EM6TJ,Kentucky State University,Academic
1-8E8RY9Q,Kenya Ports Authority,Employer
1-8E8RY7N,Kenya Rural Roads Authority,Employer
R80147,Kenya Section,Section
WE80147,"Kenya Section Affinity Group, WIE",Affinity
YP80147,"Kenya Section Affinity Group, YP",Affinity
CH08731,"Kenya Section Chapter, C16",Chapter
CH08833,"Kenya Section Chapter, COM19",Chapter
CH08851,"Kenya Section Chapter, PE31",Chapter
CH08948,"Kenya Section Chapter,AP03",Chapter
CH08900,"Kenya Section Chapter,CAS04",Chapter
CH08912,"Kenya Section Chapter,ED15",Chapter
CH08951,"Kenya Section Chapter,GRS29",Chapter
CH08945,"Kenya Section Chapter,IA34",Chapter
CH08897,"Kenya Section Chapter,IE13",Chapter
CH08135,"Kenya Section Chapter,MTT17",Chapter
CH08525,"Kenya Section Chapter,NANO42",Chapter
CH08058,"Kenya Section Chapter,PHO36",Chapter
CH08907,"Kenya Section Chapter,SP01",Chapter
CH08141,"Kenya Section Jt Chapter,CIS11/VT06",Joint Chapter
CH08522,"Kenya Section Jt. Chapter,AES10/RA24/CEDA44",Joint Chapter
CH08922,"Kenya Section Jt. Chapter,SEN39/SYSC45",Joint Chapter
SIGHT043,Kenya Section SIGHT,Affinity
SCH11560,Kenyatta University,Academic
STB11560,Kenyatta University,Student Branch
SBA11560S,Kenyatta University SB SIGHT,Affinity
SBC11560H,"Kenyatta University,AES10",Student Branch Chapter
SBC11560N,"Kenyatta University,AP03",Student Branch Chapter
SBC11560E,"Kenyatta University,C16",Student Branch Chapter
SBC11560D,"Kenyatta University,CAS04",Student Branch Chapter
SBC11560A,"Kenyatta University,COM19",Student Branch Chapter
SBC11560C,"Kenyatta University,EMB18",Student Branch Chapter
SBC11560O,"Kenyatta University,EMC27",Student Branch Chapter
SBC11560J,"Kenyatta University,GRS29",Student Branch Chapter
SBC11560I,"Kenyatta University,IA34",Student Branch Chapter
SBC11560G,"Kenyatta University,IE13",Student Branch Chapter
SBC11560K,"Kenyatta University,MTT17",Student Branch Chapter
SBC11560B,"Kenyatta University,PE31",Student Branch Chapter
SBC11560,"Kenyatta University,PHO36",Student Branch Chapter
SBC11560L,"Kenyatta University,RA24",Student Branch Chapter
SBC11560F,"Kenyatta University,SEN39",Student Branch Chapter
SBC11560M,"Kenyatta University,SP01",Student Branch Chapter
SBA11560,"Kenyatta University,WIE",Affinity
A16857,Kenyon College,Academic
R00145,Kerala Section,Section
LM00145,"Kerala Section Affinity Group, LM",Affinity
WE00145,"Kerala Section Affinity Group, WIE",Affinity
CN00145,"Kerala Section Affinity Group,CN",Affinity
YP00145,"Kerala Section Affinity Group,YP",Affinity
CH10675,"Kerala Section Chapter, AP03",Chapter
CH10014,"Kerala Section Chapter, C16",Chapter
CH10721,"Kerala Section Chapter, CAS04",Chapter
CH10688,"Kerala Section Chapter, EMB18",Chapter
CH10241,"Kerala Section Chapter, PE31",Chapter
CH10806,"Kerala Section Chapter, RFID741",Chapter
CH10651,"Kerala Section Chapter, SIT30",Chapter
CH10324,"Kerala Section Chapter,COM19",Chapter
CH10975,"Kerala Section Chapter,E25",Chapter
CH10904,"Kerala Section Chapter,GRS29",Chapter
CH11179,"Kerala Section Chapter,OE22-Kochi",Chapter
CH11221,"Kerala Section Chapter,SYS45",Chapter
CH11160,"Kerala Section Joint Chapter,ED15/CT08/NANO42",Joint Chapter
CH10074,"Kerala Section Jt. Chapter, IE13/IA34/PEL35",Joint Chapter
CH11200,"Kerala Section Jt. Chapter,PC26/TEM14",Joint Chapter
SIGHT014,Kerala Section SIGHT,Affinity
SCH2534294,Kerman Univ,Academic
A43246,Kettering Univ,Academic
STB04891,Kettering Univ,Student Branch
HKN149,"Kettering University, Theta Epsilon",Affinity
1-23UU9CU,Keystone College,Academic
SBC20148B,"KG Reddy College of Eng and Tech,COM19",Student Branch Chapter
SBC20148A,"KG Reddy College of Eng and Tech,PHO36",Student Branch Chapter
SBC20148,"KG Reddy College of Eng and Tech,SEN39",Student Branch Chapter
SBC20148C,"KG Reddy College of Engineering and Tech,NANO42",Student Branch Chapter
SBC20148D,"KG Reddy College of Engineering and Tech,RA24",Student Branch Chapter
STB20148,KG Reddy College of Engineering and Technology,Student Branch
SCH20148,KG Reddy College of Engineering and Technology,Academic
STB30541,Khaja Bandanawaz University,Student Branch
SCH30541,Khaja Bandanawaz University,Academic
STB62401,Khalifa University,Student Branch
SCH62401,Khalifa University,Academic
STB14981,Khalifa University - Abu Dhabi,Student Branch
SCH14981,Khalifa University - Abu Dhabi,Academic
SBC14981A,"Khalifa University - Abu Dhabi, EMB18",Student Branch Chapter
SBC14981,"Khalifa University - Abu Dhabi, IA34",Student Branch Chapter
SBC62401A,"Khalifa University, EMB18",Student Branch Chapter
HKN235,"Khalifa University, Lambda Phi",Affinity
SCH41565667,Khalsa College Amritsar,Academic
R00155,Kharagpur Section,Section
WE00155,"Kharagpur Section Affinity Group, WIE",Affinity
YP00155,"Kharagpur Section Affinity Group, YP",Affinity
CH10150,"Kharagpur Section Chapter, CS23",Chapter
CH10723,"Kharagpur Section Chapter, EMB18",Chapter
CH10742,"Kharagpur Section Chapter,SP01",Chapter
SBC61741,"Kharkiv National University of Radio Elect, PH036",Student Branch Chapter
SCH2518883,Kharkiv National University of Radio Electronics,Academic
SCH61741,Kharkiv National University of Radio Electronics,Academic
STB61741,Kharkiv National University of Radio Electronics,Student Branch
SCH45889047,Kharkiv Natl Univ of Radioelectronics,Academic
SCH2517633,Kharkov Polytechnical Institute,Academic
SCH2517383,Khon Kaen Univ,Academic
SCH99067,Khulna University,Academic
STB99067,Khulna University,Student Branch
SCH62901,Khulna University of Engineering & Technology,Academic
STB62901,Khulna University of Engineering & Technology,Student Branch
SBC62901,"Khulna University of Engineering & Technology,C16",Student Branch Chapter
SCH03239,Khwaja Fareed Univ of Engineering & Info Tech,Academic
STB03239,Khwaja Fareed Univ of Engineering & Info Tech,Student Branch
SBC03239,"Khwaja Fareed Univ of Engineering & Info Tech,E25",Student Branch Chapter
SBA03239A,"Khwaja Fareed Univ of Engineering & Info Tech,WIE",Affinity
SCH60240273,Khwopa College of Engineering,Academic
STB60240273,Khwopa College of Engineering,Student Branch
SCH2595233,Kielce University of Technology,Academic
SCH40146203,Kiev Int Univ Of Civil Aviation,Academic
SCH2582103,Kiev Polytechnical Inst,Academic
SBA15681S,KIIT IEEE SIGHT,Affinity
SCH2516413,Kim Chaek Univ Of Tech,Academic
STB03581,King Abdulaziz University - Female,Student Branch
SCH03581,King Abdulaziz University - Female,Academic
SBC03581A,"King Abdulaziz University - Female,C16",Student Branch Chapter
SBA03581,"King Abdulaziz University - Female,WIE",Affinity
SCH20381,King Abdulaziz University - Male,Academic
STB20381,King Abdulaziz University - Male,Student Branch
SBC20381,"King Abdulaziz University - Male,PE31",Student Branch Chapter
SCH10134,King Abdulaziz University - Rabigh,Academic
STB10134,King Abdulaziz University - Rabigh,Student Branch
SBC05071A,"King Abdullah University of Science & Tech,AP03",Student Branch Chapter
STB05071,King Abdullah University of Science & Technology,Student Branch
SCH05071,King Abdullah University of Science & Technology,Academic
SBC99531,"King Fahd Univ of Petroleum and Minerals,IA34",Student Branch Chapter
SCH99531,King Fahd University of Petroleum and Minerals,Academic
STB99531,King Fahd University of Petroleum and Minerals,Student Branch
SBA99531,"King Fahd University of Petroleum and Minerals,WIE",Affinity
SCH10381,King Faisal University,Academic
STB10381,King Faisal University,Student Branch
SBA10381,"King Faisal University,WIE",Affinity
STB64981,King Khalid University,Student Branch
SCH64981,King Khalid University,Academic
SBA64981,"King Khalid University,WIE",Affinity
STB40101,King Mongkut's Inst of Tech,Student Branch
SCH40101,King Mongkut's Inst of Tech,Academic
SBC40101A,"King Mongkut's Inst of Tech,IA34",Student Branch Chapter
SBC18451B,"King Mongkut's Univ of Tech-North Bangkok,E25",Student Branch Chapter
SBC18451A,"King Mongkut's Univ of Tech-North Bangkok,IA34",Student Branch Chapter
SBC18451,"King Mongkut's Univ of Tech-North Bangkok,PE31",Student Branch Chapter
SCH18451,King Mongkut's University of Tech-North Bangkok,Academic
STB18451,King Mongkut's University of Tech-North Bangkok,Student Branch
STB07561,King Mongkut's University of Technology - Thonburi,Student Branch
SCH07561,King Mongkut's University of Technology - Thonburi,Academic
SCH05381,King Saud Univ College of Business Administration,Academic
STB05381,King Saud Univ College of Business Administration,Student Branch
STB12491,King Saud University,Student Branch
SCH12491,King Saud University,Academic
SCH17871,"King Saud University, Col of Comp & Info Sci",Academic
STB17871,"King Saud University, Col of Comp & Info Sci",Student Branch
1-2W6KRMR,King University,Academic
SCH60237264,Kingdom University,Academic
STB16621,Kings College of Engineering,Student Branch
SCH16621,Kings College of Engineering,Academic
SBA16621S,Kings College of Engineering SB SIGHT,Affinity
SBC16621A,"Kings College of Engineering,C16",Student Branch Chapter
SBC16621,"Kings College of Engineering,COM19/PHO36",Student Branch Chapter
SBC16621B,"Kings College of Engineering,SIT30",Student Branch Chapter
SBA16621,"Kings College of Engineering,WIE",Affinity
A209,Kings Univ College,Academic
1-1DSK62G,Kingsborough Community College - CUNY,Academic
A34478,Kingston College,Academic
R70001,Kingston Section,Section
LM70001,"Kingston Section Affinity Group,LM",Affinity
CH07076,"Kingston Section Chapter, C16/COM19",Joint Chapter
CH07173,"Kingston Section Chapter, PEL35",Chapter
CH07166,"Kingston Section Jt. Chapter, AP03/MTT17",Joint Chapter
CH07137,"Kingston Section Jt. Chapter, CS23/EMB18/RA24",Joint Chapter
SCH2516283,Kinki Univ,Academic
SCH11444,Kinnaird College For Women,Academic
STB11444,Kinnaird College For Women,Student Branch
SBA11444,"Kinnaird College For Women,WIE",Affinity
SCH60139504,Kinnard College Lahore,Academic
SCH10571,Kirikkale University,Academic
STB10571,Kirikkale University,Student Branch
A5419,Kirksville College Of Osteopathic Medicine,Academic
A23679,Kirkwood Community College,Academic
STB60228803,Kishkinda University,Student Branch
SCH60228803,Kishkinda University,Academic
SBC60228803B,"Kishkinda University,AES10",Student Branch Chapter
SBC60228803,"Kishkinda University,CIS11",Student Branch Chapter
SBC60228803A,"Kishkinda University,DEI32",Student Branch Chapter
1-7VPZ6EQ,"Kishwaukee College,Malta",Academic
SCH60106353,Kisii Universtiy,Academic
SCH2599853,Kitami Inst Of Tech Lib,Academic
R70005,Kitchener-Waterloo Section,Section
YP70505,"Kitchener-Waterloo Section Af. Grp,yp",Affinity
CN70005,"Kitchener-Waterloo Section Affinity Group, CN",Affinity
WE70005,"Kitchener-Waterloo Section Affn Group,WIE",Affinity
CH07145,"Kitchener-Waterloo Section Chap, PHO36",Chapter
CH07100,"Kitchener-Waterloo Section Chap, SSC37",Chapter
CH07124,"Kitchener-Waterloo Section Chap,EMB18",Chapter
CH07120,"Kitchener-Waterloo Section Chap,VT06",Chapter
CH07117,"Kitchener-Waterloo Section Chapter, AES10",Chapter
CH07107,"Kitchener-Waterloo Section Chapter, C16",Chapter
CH07148,"Kitchener-Waterloo Section Chapter, CIS11",Chapter
CH07128,"Kitchener-Waterloo Section Chapter, ED15",Chapter
CH07160,"Kitchener-Waterloo Section Chapter, EMC27/MAG33",Joint Chapter
CH07150,"Kitchener-Waterloo Section Chapter, PE31",Chapter
CH07184,"Kitchener-Waterloo Section Chapter, SEN39",Chapter
CH07165,"Kitchener-Waterloo Section Chapter, SIT30/SMC28",Joint Chapter
CH07006,"Kitchener-Waterloo Section Chapter, SP01",Chapter
CH07009,"Kitchener-Waterloo Section Chapter,COM19",Chapter
CH07102,"Kitchener-Waterloo Section Chapter,CS23",Chapter
CH07196,"Kitchener-Waterloo Section Chapter,RA24",Chapter
CH07007,"Kitchener-Waterloo Section Jt. Chapter,AP03/MTT17",Joint Chapter
SBC63231,"KJ Somaiya Inst of Engineering & Info Tech,GRS29",Student Branch Chapter
SBA63231,"KJ Somaiya Institute of Eng & Info Tech,WIE",Affinity
STB63231,KJ Somaiya Institute of Engineering & Info Tech,Student Branch
SCH63231,KJ Somaiya Institute of Engineering & Info Tech,Academic
SCH62661,KK Wagh Institute of Eng Education & Research,Academic
STB62661,KK Wagh Institute of Eng Education & Research,Student Branch
SCH60021867,Klaipeda University,Academic
SBC50295B,"KLE Dr. M.S. Sheshgiri Coll of Engg & Tech,AES10",Student Branch Chapter
SBC50295,"KLE Dr. M.S. Sheshgiri Coll of Engg & Tech,CAS04",Student Branch Chapter
SBC50295C,"KLE Dr. M.S. Sheshgiri Coll of Engg & Tech,MTT17",Student Branch Chapter
SBC50295E,"KLE Dr. M.S. Sheshgiri College of Eng & Tech,PEL35",Student Branch Chapter
STB50295,KLE Dr. M.S. Sheshgiri College of Engg & Tech,Student Branch
SCH50295,KLE Dr. M.S. Sheshgiri College of Engg & Tech,Academic
SBC50295A,"KLE Dr. M.S. Sheshgiri College of Engg & Tech,IT12",Student Branch Chapter
SBC50295D,"KLE Dr. M.S. Sheshgiri College of Engg & Tech,PE31",Student Branch Chapter
SBA50295,"KLE Dr. M.S. Sheshgiri College of Engg & Tech,WIE",Affinity
STB62711,KLE Technological University,Student Branch
SCH62711,KLE Technological University,Academic
SBC62711C,"KLE Technological University,C16",Student Branch Chapter
SBC62711,"KLE Technological University,CAS04",Student Branch Chapter
SBC62711A,"KLE Technological University,CEDA44",Student Branch Chapter
SBC62711B,"KLE Technological University,PE31",Student Branch Chapter
SBC62711D,"KLE Technological University,PEL35",Student Branch Chapter
SBC62711E,"KLE Technological University,RA24",Student Branch Chapter
SBA62711,"KLE Technological University,WIE",Affinity
STB28191,"KLS Gogte Institute of Technology, Belagavi",Student Branch
SCH28191,"KLS Gogte Institute of Technology, Belagavi",Academic
SBC28191B,"KLS Gogte Institute of Technology, Belagavi,AES10",Student Branch Chapter
SBC28191A,"KLS Gogte Institute of Technology, Belagavi,C16",Student Branch Chapter
SBC28191E,"KLS Gogte Institute of Technology, Belagavi,CAS04",Student Branch Chapter
SBC28191F,"KLS Gogte Institute of Technology, Belagavi,CIS11",Student Branch Chapter
SBC28191C,"KLS Gogte Institute of Technology, Belagavi,IT12",Student Branch Chapter
SBC28191,"KLS Gogte Institute of Technology, Belagavi,PE31",Student Branch Chapter
SBC28191D,"KLS Gogte Institute of Technology, Belagavi,RA24",Student Branch Chapter
SBC28191G,"KLS Gogte Institute of Technology, Belagavi,SMC28",Student Branch Chapter
SBA28191,"KLS Gogte Institute of Technology, Belagavi,WIE",Affinity
STB11171,KMEA Engineering College-Aluva,Student Branch
SCH11171,KMEA Engineering College-Aluva,Academic
SBC11171C,"KMEA Engineering College-Aluva,C16",Student Branch Chapter
SBC11171E,"KMEA Engineering College-Aluva,OE22",Student Branch Chapter
SBC11171D,"KMEA Engineering College-Aluva,PEL35",Student Branch Chapter
SBC11171A,"KMEA Engineering College-Aluva,RA24",Student Branch Chapter
SBC11171B,"KMEA Engineering College-Aluva,SP01",Student Branch Chapter
A17190,Knowledge Systems Inst,Academic
A17452,Knox College,Academic
SCH60183704,Kobe Institute of Computing,Academic
SCH2510483,Kobe Univ,Academic
SCH40162490,Kobe Univ Of Mercantile Marine,Academic
STB62161,Koc Universitesi,Student Branch
SBC62161,"Koc Universitesi, RA24",Student Branch Chapter
SCH62161,Koc University,Academic
SCH62071,Kocaeli University,Academic
STB62071,Kocaeli University,Student Branch
SBC62071,"Kocaeli University, PE31",Student Branch Chapter
SBA62071,"Kocaeli University, WIE",Affinity
SCH40162491,Kochi Univ,Academic
SCH60038709,Kochi University of Technology,Academic
SCH2516293,Kogakuin Daigaku Toshokan (Kogakuin Univ),Academic
A34761,Kogakuin Univ,Academic
SCH60051424,Kogi State Polytechnic,Academic
SCH60138944,Kohat University of Science & Technology,Academic
SCH2539143,Kokushikan University,Academic
SCH41608387,Koleg Damansara Utama,Academic
R00137,Kolkata Section,Section
LM00137,"Kolkata Section Affinity Group, LM",Affinity
WE00137,"Kolkata Section Affinity Group, WIE",Affinity
YP00137,"Kolkata Section Affinity Group, YP",Affinity
CH11059,"Kolkata Section Chapter, BIO46",Chapter
CH10093,"Kolkata Section Chapter, C16",Chapter
CH10420,"Kolkata Section Chapter, CAS04",Chapter
CH10574,"Kolkata Section Chapter, CIS11",Chapter
CH10300,"Kolkata Section Chapter, COM19",Chapter
CH10673,"Kolkata Section Chapter, CS23/IM09",Joint Chapter
CH10608,"Kolkata Section Chapter, DEI32",Chapter
CH10294,"Kolkata Section Chapter, ED15",Chapter
CH10618,"Kolkata Section Chapter, GRS29",Chapter
CH10221,"Kolkata Section Chapter, IA34",Chapter
CH10953,"Kolkata Section Chapter, NANO42",Chapter
CH10971,"Kolkata Section Chapter, NANO42-Patna",Chapter
CH10119,"Kolkata Section Chapter, PE31",Chapter
CH10323,"Kolkata Section Chapter, PHO36",Chapter
CH10750,"Kolkata Section Chapter, SSC37",Chapter
CH11069,"Kolkata Section Chapter, SYSC45-Guwahati",Chapter
CH11249,"Kolkata Section Chapter,DEI32-Guwahati",Chapter
CH11090,"Kolkata Section Chapter,SEN39-Guwahati",Chapter
CH10312,"Kolkata Section Jt. Chapter, AP03/MTT17",Joint Chapter
CH11165,"Kolkata Section Jt. Chapter,MTT17/RFID741-Patna",Joint Chapter
A12952,Kon Kuk Univ Bin 304,Academic
SCH16571,Kon-Kuk Univ,Academic
STB16571,Kon-Kuk Univ,Student Branch
SCH40008345,Konan University,Academic
SBC62881B,"Koneru Lakshmaiah College of Eng,SEN39,MTT17",Student Branch Chapter
STB62881,Koneru Lakshmaiah College of Engineering,Student Branch
SCH62881,Koneru Lakshmaiah College of Engineering,Academic
SBA62881,"Koneru Lakshmaiah College of Engineering, WIE",Affinity
SBC62881L,"Koneru Lakshmaiah College of Engineering,AES10",Student Branch Chapter
SBC62881M,"Koneru Lakshmaiah College of Engineering,AP03",Student Branch Chapter
SBC62881G,"Koneru Lakshmaiah College of Engineering,C16",Student Branch Chapter
SBC62881C,"Koneru Lakshmaiah College of Engineering,CAS04",Student Branch Chapter
SBC62881H,"Koneru Lakshmaiah College of Engineering,CIS11",Student Branch Chapter
SBC62881D,"Koneru Lakshmaiah College of Engineering,COM19",Student Branch Chapter
SBC62881I,"Koneru Lakshmaiah College of Engineering,CT08",Student Branch Chapter
SBC62881E,"Koneru Lakshmaiah College of Engineering,ED15",Student Branch Chapter
SBC62881O,"Koneru Lakshmaiah College of Engineering,EMC27",Student Branch Chapter
SBC62881N,"Koneru Lakshmaiah College of Engineering,GRS29",Student Branch Chapter
SBC62881R,"Koneru Lakshmaiah College of Engineering,IE13",Student Branch Chapter
SBC62881F,"Koneru Lakshmaiah College of Engineering,NANO42",Student Branch Chapter
SBC62881K,"Koneru Lakshmaiah College of Engineering,PE31",Student Branch Chapter
SBC62881J,"Koneru Lakshmaiah College of Engineering,PEL35",Student Branch Chapter
SBC62881P,"Koneru Lakshmaiah College of Engineering,RFID741",Student Branch Chapter
SBC62881Q,"Koneru Lakshmaiah College of Engineering,VT06",Student Branch Chapter
STB99212,Koneru Lakshmaiah Education Foundation,Student Branch
