issue,unit_spoid,unit_name,unit_type,unit_status,related_spoid,related_name,related_type,related_status
parent does not list unit as child,SBC04201,"Universidad Catolica de Santa Maria, COM19",Student Branch Chapter,Active,COM019,IEEE Communications Society,Society,Active
parent does not list unit as child,SBC04201A,"Universidad Catolica de Santa Maria, IA34",Student Branch Chapter,Active,IA034,IEEE Industry Applications Society,Society,Active
parent does not list unit as child,SBC04201E,"Universidad Catolica de Santa Maria, PE31",Student Branch Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,SBC04201C,"Universidad Catolica de Santa Maria, RA24",Student Branch Chapter,Active,RA024,IEEE Robotics and Automation Society,Society,Active
parent does not list unit as child,SBA04201,"Universidad Catolica de Santa Maria, WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBC04201F,"Universidad Catolica de Santa Maria,EMB18",Student Branch Chapter,Active,EMB018,IEEE Engineering Medicine and Biology Society,Society,Active
parent does not list unit as child,SBA66271,Universidad Catolica San Pablo WIE,Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBC66271A,"Universidad Catolica San Pablo,C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBC662711,"Universidad Catolica San Pablo,COM19",Student Branch Chapter,Active,COM019,IEEE Communications Society,Society,Active
parent does not list unit as child,SBA01211,"Universidad Catolica Santiago de Guayaquil, WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBC10069A,"Universidad Central del Ecuador,WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBC10069A,"Universidad Central del Ecuador,WIE",Affinity,Active,CMC4000,IEEE Women In Engineering,Committee,Active
parent does not list unit as child,SBC18751A,"Universidad Centroamericana de Nicaragua,COM19",Student Branch Chapter,Active,COM019,IEEE Communications Society,Society,Active
parent does not list unit as child,SBC18751,"Universidad Centroamericana de Nicaragua,ED15",Student Branch Chapter,Active,ED015,IEEE Electron Devices Society,Society,Active
parent does not list unit as child,SCH03391,Universidad Cooperativa de Colombia - Arauca,Academic,Active,R90705,Colombia Section,Section,Active
parent does not list unit as child,SCH07521,Universidad Cooperativa de Colombia-Villavicencio,Academic,Active,R90705,Colombia Section,Section,Active
parent does not list unit as child,SBC63191,"Universidad Cristobal Colon,C16/COM19/ED15",Student Branch Chapter,Active,ED015,IEEE Electron Devices Society,Society,Active
parent does not list unit as child,SBC63191,"Universidad Cristobal Colon,C16/COM19/ED15",Student Branch Chapter,Active,COM019,IEEE Communications Society,Society,Active
parent does not list unit as child,SBC63191,"Universidad Cristobal Colon,C16/COM19/ED15",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBC14361A,"Universidad de Antioquia, PE31",Student Branch Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,SBC28261,"Universidad de Antofagasta,PE31",Student Branch Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,SBC28261A,"Universidad de Antofagasta,RA24",Student Branch Chapter,Active,RA024,IEEE Robotics and Automation Society,Society,Active
parent does not list unit as child,SBC00231A,"Universidad de Buenos Aires,C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBC00321D,"Universidad de Buenos Aires,COM19",Student Branch Chapter,Active,COM019,IEEE Communications Society,Society,Active
parent does not list unit as child,SBC00321C,"Universidad de Buenos Aires,PHO36",Student Branch Chapter,Active,PHO036,IEEE Photonics Society,Society,Active
parent does not list unit as child,SBC11791D,"Universidad De Chile,C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBC11791B,"Universidad De Chile,IA34",Student Branch Chapter,Active,IA034,IEEE Industry Applications Society,Society,Active
parent does not list unit as child,SBC11791A,"Universidad De Chile,PE31",Student Branch Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,SBC11791C,"Universidad De Chile,RA24",Student Branch Chapter,Active,RA024,IEEE Robotics and Automation Society,Society,Active
parent does not list unit as child,SBA11791,"Universidad De Chile,WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBC18351,"Universidad de Ciencias y Humanidades, RA24",Student Branch Chapter,Active,RA024,IEEE Robotics and Automation Society,Society,Active
parent does not list unit as child,SBC66251C,"Universidad de Colima - Sede Manzanillo,COM19",Student Branch Chapter,Active,COM019,IEEE Communications Society,Society,Active
parent does not list unit as child,SBC11121B,"Universidad de Costa Rica, EMB18",Student Branch Chapter,Active,EMB018,IEEE Engineering Medicine and Biology Society,Society,Active
parent does not list unit as child,SBC11121A,"Universidad de Costa Rica, PE31",Student Branch Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,SBC11121E,"Universidad de Costa Rica,AES10",Student Branch Chapter,Active,AES010,IEEE Aerospace and Electronic Systems Society,Society,Active
parent does not list unit as child,SBC11121C,"Universidad de Costa Rica,C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBA11121,"Universidad de Costa Rica,WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBA86091,"Universidad De Cuenca, WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBC86091A,"Universidad de Cuenca,C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBC86091,"Universidad de Cuenca,PE31",Student Branch Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,SCH64431,Universidad de Cundinamarca,Academic,Active,R90705,Colombia Section,Section,Active
parent does not list unit as child,SBC99671B,"Universidad de el Salvador, COM19",Student Branch Chapter,Active,COM019,IEEE Communications Society,Society,Active
parent does not list unit as child,SBC99671A,"Universidad de el Salvador, IA34",Student Branch Chapter,Active,IA034,IEEE Industry Applications Society,Society,Active
parent does not list unit as child,SBC99671,"Universidad de el Salvador, PE31",Student Branch Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,SBC99671C,"Universidad de el Salvador, PEL35",Student Branch Chapter,Active,PEL035,IEEE Power Electronics Society,Society,Active
parent does not list unit as child,SBA99671,"Universidad de el Salvador, WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBC99671F,"Universidad de el Salvador,C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
