issue,unit_spoid,unit_name,unit_type,unit_status,related_spoid,related_name,related_type,related_status
parent does not list unit as child,SBC16391E,"Rajeev Gandhi Memorial College of Eng & Tech,GRS29",Student Branch Chapter,Active,GRS029,IEEE Geoscience and Remote Sensing Society,Society,Active
parent does not list unit as child,SBC16391,"Rajeev Gandhi Memorial College of Eng & Tech,IA34",Student Branch Chapter,Active,IA034,IEEE Industry Applications Society,Society,Active
parent does not list unit as child,SBC16391K,"Rajeev Gandhi Memorial College of Eng & Tech,IE13",Student Branch Chapter,Active,IE013,IEEE Industrial Electronics Society,Society,Active
parent does not list unit as child,SBC16391C,"Rajeev Gandhi Memorial College of Eng & Tech,PE31",Student Branch Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,SBC16391A,"Rajeev Gandhi Memorial College of Eng & Tech,PEL35",Student Branch Chapter,Active,PEL035,IEEE Power Electronics Society,Society,Active
parent does not list unit as child,SBC16391D,"Rajeev Gandhi Memorial College of Eng & Tech,RA24",Student Branch Chapter,Active,RA024,IEEE Robotics and Automation Society,Society,Active
parent does not list unit as child,SBC16391H,"Rajeev Gandhi Memorial College of Eng & Tech,RL07",Student Branch Chapter,Active,RL007,IEEE Reliability Society,Society,Active
parent does not list unit as child,SBC16391M,"Rajeev Gandhi Memorial College of Eng & Tech,SMC28",Student Branch Chapter,Active,SMC028,"IEEE Systems, Man, and Cybernetics Society",Society,Active
parent does not list unit as child,SBC16391L,"Rajeev Gandhi Memorial College of Eng & Tech,SP01",Student Branch Chapter,Active,SP001,IEEE Signal Processing Society,Society,Active
parent does not list unit as child,SBC16391I,"Rajeev Gandhi Memorial College of Eng & Tech,VT06",Student Branch Chapter,Active,VT006,IEEE Vehicular Technology Society,Society,Active
parent does not list unit as child,STB16391,Rajeev Gandhi Memorial College of Eng and Tech,Student Branch,Active,R00149,Hyderabad Section,Section,Active
parent does not list unit as child,SCH16391,Rajeev Gandhi Memorial College of Eng and Tech,Academic,Active,R00149,Hyderabad Section,Section,Active
parent does not list unit as child,SBC16391B,"Rajeev Gandhi Memorial College of Eng and Tech,C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBA16391,"Rajeev Gandhi Memorial College of Eng and Tech,WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBC65421B,"Rajiv Gandhi Inst of Technology Kottayam, PE31",Student Branch Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,SBC65421C,"Rajiv Gandhi Inst of Technology Kottayam,RA24",Student Branch Chapter,Active,RA024,IEEE Robotics and Automation Society,Society,Active
parent does not list unit as child,SBC65421D,"Rajiv Gandhi Institute of Technology Kottayam,SP01",Student Branch Chapter,Active,SP001,IEEE Signal Processing Society,Society,Active
parent does not list unit as child,SBC654211,"Rajiv Gandhi Institute of Technology, C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBC65421A,"Rajiv Gandhi Institute of Technology, IA34",Student Branch Chapter,Active,IA034,IEEE Industry Applications Society,Society,Active
parent does not list unit as child,SBA65421,"Rajiv Gandhi Institute of Technology,WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,STB11533,"Rajkiya Engineering College, Banda",Student Branch,Active,R00171,Uttar Pradesh Section,Section,Active
parent does not list unit as child,SCH11533,"Rajkiya Engineering College, Banda",Academic,Active,R00171,Uttar Pradesh Section,Section,Active
parent does not list unit as child,SBC11533,"Rajkiya Engineering College, Banda,PE31",Student Branch Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,SBA11533,"Rajkiya Engineering College, Banda,WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBA11533,"Rajkiya Engineering College, Banda,WIE",Affinity,Active,R00171,Uttar Pradesh Section,Section,Active
parent does not list unit as child,SBA11540,"Rajkiya Engineering College, Kannauj,WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBA11540,"Rajkiya Engineering College, Kannauj,WIE",Affinity,Active,R00171,Uttar Pradesh Section,Section,Active
parent does not list unit as child,STB11540,Rajkiya Engineering College-Kannauj,Student Branch,Active,R00171,Uttar Pradesh Section,Section,Active
parent does not list unit as child,SCH11540,Rajkiya Engineering College-Kannauj,Academic,Active,R00171,Uttar Pradesh Section,Section,Active
parent does not list unit as child,SBC11540,"Rajkiya Engineering College-Kannauj,C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBC11540C,"Rajkiya Engineering College-Kannauj,EMB18",Student Branch Chapter,Active,EMB018,IEEE Engineering Medicine and Biology Society,Society,Active
parent does not list unit as child,SBC11540A,"Rajkiya Engineering College-Kannauj,PEL35",Student Branch Chapter,Active,PEL035,IEEE Power Electronics Society,Society,Active
parent does not list unit as child,SBC11540B,"Rajkiya Engineering College-Kannauj,SP01",Student Branch Chapter,Active,SP001,IEEE Signal Processing Society,Society,Active
parent does not list unit as child,SBC04411E,"Rajshahi University of Engineering & Tech,AP03",Student Branch Chapter,Active,AP003,IEEE Antennas and Propagation Society,Society,Active
parent does not list unit as child,SBC04411A,"Rajshahi University of Engineering & Tech,C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBC04411,"Rajshahi University of Engineering & Tech,IA34",Student Branch Chapter,Active,IA034,IEEE Industry Applications Society,Society,Active
parent does not list unit as child,SBC04411B,"Rajshahi University of Engineering & Tech,RA24",Student Branch Chapter,Active,RA024,IEEE Robotics and Automation Society,Society,Active
parent does not list unit as child,SBC04411D,"Rajshahi University of Engineering & Tech,SP01",Student Branch Chapter,Active,SP001,IEEE Signal Processing Society,Society,Active
parent does not list unit as child,SBA04411,"Rajshahi University of Engineering & Tech,WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,STB60209933,Ramachandra College of Engineering-Eluru,Student Branch,Active,R00150,Vizag Bay Section,Section,Active
parent does not list unit as child,SBC60209933,"Ramachandra College of Engineering-Eluru,AP03",Student Branch Chapter,Active,AP003,IEEE Antennas and Propagation Society,Society,Active
parent does not list unit as child,SCH62841,Ramaiah Institute of Technology,Academic,Active,R00119,Bangalore Section,Section,Active
parent does not list unit as child,SBA62841S,Ramaiah Institute of Technology SB SIGHT,Affinity,Active,C-SIGHTSC,IEEE SIGHT Steering Committee,Committee,Active
parent does not list unit as child,SBA62841,"Ramaiah Institute of Technology,  WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBC62841F,"Ramaiah Institute of Technology,AP03",Student Branch Chapter,Active,AP003,IEEE Antennas and Propagation Society,Society,Active
parent does not list unit as child,SBC62841G,"Ramaiah Institute of Technology,C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBC62841C,"Ramaiah Institute of Technology,CIS11",Student Branch Chapter,Active,CIS011,IEEE Computational Intelligence Society,Society,Active
parent does not list unit as child,SBC62841E,"Ramaiah Institute of Technology,COM19",Student Branch Chapter,Active,COM019,IEEE Communications Society,Society,Active
parent does not list unit as child,SBC62841A,"Ramaiah Institute of Technology,EMB18",Student Branch Chapter,Active,EMB018,IEEE Engineering Medicine and Biology Society,Society,Active
parent does not list unit as child,SBC62841I,"Ramaiah Institute of Technology,MTT17",Student Branch Chapter,Active,MTT017,IEEE Microwave Theory and Technology Society,Society,Active
parent does not list unit as child,SBC62841B,"Ramaiah Institute of Technology,PE31",Student Branch Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,SBC62841J,"Ramaiah Institute of Technology,RA24",Student Branch Chapter,Active,RA024,IEEE Robotics and Automation Society,Society,Active
parent does not list unit as child,SBC62841D,"Ramaiah Institute of Technology,SP01",Student Branch Chapter,Active,SP001,IEEE Signal Processing Society,Society,Active
parent does not list unit as child,SBC62841K,"Ramaiah Institute of Technology,TEM14",Student Branch Chapter,Active,TEM014,IEEE Technology and Engineering Management Society,Society,Active
parent does not list unit as child,SBA29561,"Ramrao Adik Inst Of Tech,WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBA29561,"Ramrao Adik Inst Of Tech,WIE",Affinity,Active,CMC4000,IEEE Women In Engineering,Committee,Active
parent does not list unit as child,SBA11651S,Rashtreeya Vidyalaya College of Eng SB SIGHT,Affinity,Active,C-SIGHTSC,IEEE SIGHT Steering Committee,Committee,Active
parent does not list unit as child,SBC11651I,"Rashtreeya Vidyalaya College of Engineering,AES10",Student Branch Chapter,Active,AES010,IEEE Aerospace and Electronic Systems Society,Society,Active
parent does not list unit as child,SBC11651C,"Rashtreeya Vidyalaya College of Engineering,AP03",Student Branch Chapter,Active,AP003,IEEE Antennas and Propagation Society,Society,Active
parent does not list unit as child,SBC11651,"Rashtreeya Vidyalaya College of Engineering,C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBC11651F,"Rashtreeya Vidyalaya College of Engineering,CAS04",Student Branch Chapter,Active,CAS004,IEEE Circuits and Systems Society,Society,Active
parent does not list unit as child,SBC11651B,"Rashtreeya Vidyalaya College of Engineering,COM19",Student Branch Chapter,Active,COM019,IEEE Communications Society,Society,Active
parent does not list unit as child,SBC11651K,"Rashtreeya Vidyalaya College of Engineering,EMB18",Student Branch Chapter,Active,EMB018,IEEE Engineering Medicine and Biology Society,Society,Active
parent does not list unit as child,SBC11651J,"Rashtreeya Vidyalaya College of Engineering,GRS29",Student Branch Chapter,Active,GRS029,IEEE Geoscience and Remote Sensing Society,Society,Active
parent does not list unit as child,SBC11651H,"Rashtreeya Vidyalaya College of Engineering,MTT17",Student Branch Chapter,Active,MTT017,IEEE Microwave Theory and Technology Society,Society,Active
parent does not list unit as child,SBC11651A,"Rashtreeya Vidyalaya College of Engineering,PE31",Student Branch Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,SBC11651E,"Rashtreeya Vidyalaya College of Engineering,RA24",Student Branch Chapter,Active,RA024,IEEE Robotics and Automation Society,Society,Active
parent does not list unit as child,SBC11651D,"Rashtreeya Vidyalaya College of Engineering,SP01",Student Branch Chapter,Active,SP001,IEEE Signal Processing Society,Society,Active
parent does not list unit as child,SBA11651,"Rashtreeya Vidyalaya College of Engineering,WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,STB17311,Ravindra College of Engineering for Women,Student Branch,Active,R00149,Hyderabad Section,Section,Active
parent does not list unit as child,SCH17311,Ravindra College of Engineering for Women,Academic,Active,R00149,Hyderabad Section,Section,Active
parent does not list unit as child,SBC17311A,"Ravindra College of Engineering for Women,C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBC17311B,"Ravindra College of Engineering for Women,CIS11",Student Branch Chapter,Active,CIS011,IEEE Computational Intelligence Society,Society,Active
parent does not list unit as child,SBC17311E,"Ravindra College of Engineering for Women,RA24",Student Branch Chapter,Active,RA024,IEEE Robotics and Automation Society,Society,Active
parent does not list unit as child,SBC17311D,"Ravindra College of Engineering for Women,SP01",Student Branch Chapter,Active,SP001,IEEE Signal Processing Society,Society,Active
parent does not list unit as child,SBA17311,"Ravindra College of Engineering for Women,WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,ARR0101,Region 1 - Central Area,Area,Active,R1,Northeastern USA - Region 1,Region,Active
parent does not list unit as child,ARR0102,Region 1 - Northeastern Area,Area,Active,R1,Northeastern USA - Region 1,Region,Active
parent does not list unit as child,ARR0103,Region 1 - Southern Area,Area,Active,R1,Northeastern USA - Region 1,Region,Active
parent does not list unit as child,ARR0104,Region 1 - Western Area,Area,Active,R1,Northeastern USA - Region 1,Region,Active
parent does not list unit as child,ARR0254,Region 2 - Buckeye Area,Area,Active,R2,Eastern USA - Region 2,Region,Active
parent does not list unit as child,ARR0253,Region 2 - Chesapeake Area,Area,Active,R2,Eastern USA - Region 2,Region,Active
parent does not list unit as child,ARR0252,Region 2 - Greater Delaware Valley Area,Area,Active,R2,Eastern USA - Region 2,Region,Active
parent does not list unit as child,ARR0251,Region 2 - Mid Appalachian Area,Area,Active,R2,Eastern USA - Region 2,Region,Active
parent does not list unit as child,ARR0301,Region 3 - Area 1,Area,Active,R3,Southeastern USA - Region 3,Region,Active
parent does not list unit as child,ARR0302,Region 3 - Area 2,Area,Active,R3,Southeastern USA - Region 3,Region,Active
parent does not list unit as child,ARR0303,Region 3 - Area 3,Area,Active,R3,Southeastern USA - Region 3,Region,Active
parent does not list unit as child,ARR0304,Region 3 - Area 4,Area,Active,R3,Southeastern USA - Region 3,Region,Active
parent does not list unit as child,ARR0305,Region 3 - Area 5,Area,Active,R3,Southeastern USA - Region 3,Region,Active
parent does not list unit as child,ARR0403,Region 4 - East Small Sections Area,Area,Active,R4,Central USA - Region 4,Region,Active
parent does not list unit as child,ARR0401,Region 4 - Large Sections Area,Area,Active,R4,Central USA - Region 4,Region,Active
parent does not list unit as child,ARR0402,Region 4 - Medium Sections Area,Area,Active,R4,Central USA - Region 4,Region,Active
parent does not list unit as child,ARR0404,Region 4 - West Small Sections Area,Area,Active,R4,Central USA - Region 4,Region,Active
parent does not list unit as child,ARR0501,Region 5 - East Area,Area,Active,R5,Southwestern USA - Region 5,Region,Active
parent does not list unit as child,ARR0502,Region 5 - North Area,Area,Active,R5,Southwestern USA - Region 5,Region,Active
parent does not list unit as child,ARR0503,Region 5 - South Area,Area,Active,R5,Southwestern USA - Region 5,Region,Active
parent does not list unit as child,ARR0504,Region 5 - West Area,Area,Active,R5,Southwestern USA - Region 5,Region,Active
parent does not list unit as child,ARR0601,Region 6 - Central Area,Area,Active,R6,Western USA - Region 6,Region,Active
parent does not list unit as child,ARR0602,Region 6 - Northeast Area,Area,Active,R6,Western USA - Region 6,Region,Active
parent does not list unit as child,ARR0603,Region 6 - Northwest Area,Area,Active,R6,Western USA - Region 6,Region,Active
parent does not list unit as child,ARR0604,Region 6 - Southern Area,Area,Active,R6,Western USA - Region 6,Region,Active
parent does not list unit as child,ARR0605,Region 6 - Southwest Area,Area,Active,R6,Western USA - Region 6,Region,Active
parent does not list unit as child,ARR0701,Region 7 - Central Area,Area,Active,R7,Canada - Region 7,Region,Active
parent does not list unit as child,ARR0702,Region 7 - East Area,Area,Active,R7,Canada - Region 7,Region,Active
parent does not list unit as child,ARR0703,Region 7 - West Area,Area,Active,R7,Canada - Region 7,Region,Active
parent does not list unit as child,SBC0161H,"Rensselaer Poly Institute,EP21/ED15",Student Branch Chapter,Active,ED015,IEEE Electron Devices Society,Society,Active
parent does not list unit as child,SBC0161H,"Rensselaer Poly Institute,EP21/ED15",Student Branch Chapter,Active,EP021,IEEE Electronics Packaging Society,Society,Active
parent does not list unit as child,STB20146,Reva University,Student Branch,Active,R00119,Bangalore Section,Section,Active
parent does not list unit as child,SCH20146,Reva University,Academic,Active,R00119,Bangalore Section,Section,Active
parent does not list unit as child,SBC20146L,"Reva University,AES10",Student Branch Chapter,Active,AES010,IEEE Aerospace and Electronic Systems Society,Society,Active
parent does not list unit as child,SBC20146Q,"Reva University,AP03",Student Branch Chapter,Active,AP003,IEEE Antennas and Propagation Society,Society,Active
parent does not list unit as child,SBC20146,"Reva University,C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBC20146K,"Reva University,CAS04",Student Branch Chapter,Active,CAS004,IEEE Circuits and Systems Society,Society,Active
parent does not list unit as child,SBC20146G,"Reva University,CIS11",Student Branch Chapter,Active,CIS011,IEEE Computational Intelligence Society,Society,Active
parent does not list unit as child,SBC20146D,"Reva University,COM19",Student Branch Chapter,Active,COM019,IEEE Communications Society,Society,Active
parent does not list unit as child,SBC20146E,"Reva University,EMB18",Student Branch Chapter,Active,EMB018,IEEE Engineering Medicine and Biology Society,Society,Active
parent does not list unit as child,SBC20146J,"Reva University,MTT17",Student Branch Chapter,Active,MTT017,IEEE Microwave Theory and Technology Society,Society,Active
parent does not list unit as child,SBC20146B,"Reva University,PE31",Student Branch Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,SBC20146I,"Reva University,PEL35",Student Branch Chapter,Active,PEL035,IEEE Power Electronics Society,Society,Active
parent does not list unit as child,SBC20146N,"Reva University,RA24",Student Branch Chapter,Active,RA024,IEEE Robotics and Automation Society,Society,Active
parent does not list unit as child,SBC20146P,"Reva University,SEN39",Student Branch Chapter,Active,SEN039,IEEE Sensors Council,Council,Active
parent does not list unit as child,SBC20146O,"Reva University,SMC28",Student Branch Chapter,Active,SMC028,"IEEE Systems, Man, and Cybernetics Society",Society,Active
parent does not list unit as child,SBC20146M,"Reva University,SP01",Student Branch Chapter,Active,SP001,IEEE Signal Processing Society,Society,Active
parent does not list unit as child,SBC20146C,"Reva University,VT06",Student Branch Chapter,Active,VT006,IEEE Vehicular Technology Society,Society,Active
parent does not list unit as child,RFID741GR-SB,RFID-SB Chapter Support All,SBC Grouping,Active,R1,Northeastern USA - Region 1,Region,Active
parent does not list unit as child,RFID741GR-SB,RFID-SB Chapter Support All,SBC Grouping,Active,R2,Eastern USA - Region 2,Region,Active
parent does not list unit as child,RFID741GR-SB,RFID-SB Chapter Support All,SBC Grouping,Active,R3,Southeastern USA - Region 3,Region,Active
parent does not list unit as child,RFID741GR-SB,RFID-SB Chapter Support All,SBC Grouping,Active,R4,Central USA - Region 4,Region,Active
parent does not list unit as child,RFID741GR-SB,RFID-SB Chapter Support All,SBC Grouping,Active,R5,Southwestern USA - Region 5,Region,Active
parent does not list unit as child,RFID741GR-SB,RFID-SB Chapter Support All,SBC Grouping,Active,R6,Western USA - Region 6,Region,Active
parent does not list unit as child,RFID741GR-SB,RFID-SB Chapter Support All,SBC Grouping,Active,R7,Canada - Region 7,Region,Active
parent does not list unit as child,RFID741GR-SB,RFID-SB Chapter Support All,SBC Grouping,Active,R8,"Europe, Middle East, Africa - Region 8",Region,Active
parent does not list unit as child,RFID741GR-SB,RFID-SB Chapter Support All,SBC Grouping,Active,R9,Latin America - Region 9,Region,Active
parent does not list unit as child,RFID741GR-SB,RFID-SB Chapter Support All,SBC Grouping,Active,R0,Asia & Pacific - Region 10,Region,Active
parent does not list unit as child,SBC01631,"Rice Univ,C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,LM60033,"Richland Section Affinity Group,LM",Affinity,Active,CMC1200,IEEE Life Members Committee,Committee,Active
parent does not list unit as child,CH06053,"Richland Section Chapter, C16",Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,YP30002,"Richmond Section Affinity Group, YP",Affinity,Active,CMA9100,IEEE Young Professionals Committee,Committee,Active
parent does not list unit as child,LM30002,"Richmond Section Affinity Group,LM",Affinity,Active,CMC1200,IEEE Life Members Committee,Committee,Active
parent does not list unit as child,CH03236,"Richmond Section Chapter, C16",Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,CH03249,"Richmond Section Chapter,IA34",Chapter,Active,IA034,IEEE Industry Applications Society,Society,Active
parent does not list unit as child,CH03265,"Richmond Section Chapter,RA24",Chapter,Active,RA024,IEEE Robotics and Automation Society,Society,Active
parent does not list unit as child,CH03235,"Richmond Section Jt. Chapter, MAG33/EMB18",Joint Chapter,Active,EMB018,IEEE Engineering Medicine and Biology Society,Society,Active
parent does not list unit as child,CH09024,"Rio De Janeiro Sect,AP03/ED15/MTT17",Joint Chapter,Active,MTT017,IEEE Microwave Theory and Technology Society,Society,Active
parent does not list unit as child,WE90111,"Rio De Janeiro Section Affinity Group, WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,CH09304,"Rio De Janeiro Section Chap,PE31",Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,CH09305,"Rio De Janeiro Section Chapter,COM19",Chapter,Active,COM019,IEEE Communications Society,Society,Active
parent does not list unit as child,CH09309,"Rio De Janeiro Section Jt. Chap,IE13/IA34/PEL35",Joint Chapter,Active,IA034,IEEE Industry Applications Society,Society,Active
parent does not list unit as child,SBA65271,Riphah International University WIE,Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBC65271,"Riphah International University,C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBC99389,"Riphah University FC,CIS11",Student Branch Chapter,Active,CIS011,IEEE Computational Intelligence Society,Society,Active
parent does not list unit as child,SBA99389,"Riphah University FC,WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,RL007GR,RL-Chapter Support All,Grouping,Active,RL007,IEEE Reliability Society,Society,Active
parent does not list unit as child,SBC16931,"Rochester Institute of Technology - Dubai,RA24",Student Branch Chapter,Active,RA024,IEEE Robotics and Automation Society,Society,Active
parent does not list unit as child,SBA16931,"Rochester Institute of Technology - Dubai,WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBA16931,"Rochester Institute of Technology - Dubai,WIE",Affinity,Active,CMC4000,IEEE Women In Engineering,Committee,Active
parent does not list unit as child,YP10033,"Rochester Section Affinity Group, YP",Affinity,Active,CMA9100,IEEE Young Professionals Committee,Committee,Active
parent does not list unit as child,WE10033,"Rochester Section Affinity Group,WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,CH01112,"Rochester Section Jt Chapter,PE31/IA34",Joint Chapter,Active,IA034,IEEE Industry Applications Society,Society,Active
parent does not list unit as child,CH01112,"Rochester Section Jt Chapter,PE31/IA34",Joint Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,CH04089,"Rock River Valley Section Jt Chapter, C16/CS23",Joint Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,WE80061,"Romania Section Affinity Group, WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,YP80061,"Romania Section Affinity Group, YP",Affinity,Active,CMA9100,IEEE Young Professionals Committee,Committee,Active
parent does not list unit as child,CH08362,"Romania Section Chapter,C16",Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,CH08140,"Romania Section Chapter,GRS29",Chapter,Active,GRS029,IEEE Geoscience and Remote Sensing Society,Society,Active
parent does not list unit as child,CH08356,"Romania Section Chapter,PE31",Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,CH08508,"Romania Section Chapter,RA24",Chapter,Active,RA024,IEEE Robotics and Automation Society,Society,Active
parent does not list unit as child,CH08155,"Romania Section Jt Chap,AES10/VT06",Joint Chapter,Active,AES010,IEEE Aerospace and Electronic Systems Society,Society,Active
parent does not list unit as child,CH08155,"Romania Section Jt Chap,AES10/VT06",Joint Chapter,Active,VT006,IEEE Vehicular Technology Society,Society,Active
parent does not list unit as child,CH08832,"Romania Section Jt. Chapter,AP03/RFID741",Joint Chapter,Active,CAS004,IEEE Circuits and Systems Society,Society,Active
parent does not list unit as child,CH08832,"Romania Section Jt. Chapter,AP03/RFID741",Joint Chapter,Active,SSC037,IEEE Solid-State Circuits Society,Society,Active
parent does not list unit as child,CH08832,"Romania Section Jt. Chapter,AP03/RFID741",Joint Chapter,Active,COM019,IEEE Communications Society,Society,Active
parent does not list unit as child,CH08832,"Romania Section Jt. Chapter,AP03/RFID741",Joint Chapter,Active,AP003,IEEE Antennas and Propagation Society,Society,Active
parent does not list unit as child,CH08832,"Romania Section Jt. Chapter,AP03/RFID741",Joint Chapter,Active,MTT017,IEEE Microwave Theory and Technology Society,Society,Active
parent does not list unit as child,CH08832,"Romania Section Jt. Chapter,AP03/RFID741",Joint Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,CH08832,"Romania Section Jt. Chapter,AP03/RFID741",Joint Chapter,Active,SP001,IEEE Signal Processing Society,Society,Active
parent does not list unit as child,CH08832,"Romania Section Jt. Chapter,AP03/RFID741",Joint Chapter,Active,VT006,IEEE Vehicular Technology Society,Society,Active
parent does not list unit as child,CH08832,"Romania Section Jt. Chapter,AP03/RFID741",Joint Chapter,Active,EMB018,IEEE Engineering Medicine and Biology Society,Society,Active
parent does not list unit as child,CH08832,"Romania Section Jt. Chapter,AP03/RFID741",Joint Chapter,Active,SMC028,"IEEE Systems, Man, and Cybernetics Society",Society,Active
parent does not list unit as child,SBA39341,"Rowan Univ, WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBC03061B,"Royal Melbourne Institute of Technology,COM19",Student Branch Chapter,Active,COM019,IEEE Communications Society,Society,Active
parent does not list unit as child,SBC03061A,"Royal Melbourne Institute of Technology,IA34",Student Branch Chapter,Active,IA034,IEEE Industry Applications Society,Society,Active
parent does not list unit as child,SBA03061,"Royal Melbourne Institute of Technology,WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,CH08268,"Russia (Northwest) Sect,BT/CT/COM",Joint Chapter,Active,COM019,IEEE Communications Society,Society,Active
parent does not list unit as child,LM80087,"Russia (Northwest) Section Affinity Group,LM",Affinity,Active,CMC1200,IEEE Life Members Committee,Committee,Active
parent does not list unit as child,CH08316,"Russia (Siberia) Sect,AP/ED/MTT/COM/EMC",Joint Chapter,Active,COM019,IEEE Communications Society,Society,Active
parent does not list unit as child,CH08217,"Russia (Siberia) Section,PE31",Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,CH08887,"Russia Sc Jt Ch,AP/MTT/CS/OE/SEN/RFID/CEDA/SYS",Joint Chapter,Active,R80059,Russia Section,Section,Active
parent does not list unit as child,CH08887,"Russia Sc Jt Ch,AP/MTT/CS/OE/SEN/RFID/CEDA/SYS",Joint Chapter,Active,CAS004,IEEE Circuits and Systems Society,Society,Active
parent does not list unit as child,CH08887,"Russia Sc Jt Ch,AP/MTT/CS/OE/SEN/RFID/CEDA/SYS",Joint Chapter,Active,ED015,IEEE Electron Devices Society,Society,Active
parent does not list unit as child,CH08887,"Russia Sc Jt Ch,AP/MTT/CS/OE/SEN/RFID/CEDA/SYS",Joint Chapter,Active,SSC037,IEEE Solid-State Circuits Society,Society,Active
parent does not list unit as child,CH08887,"Russia Sc Jt Ch,AP/MTT/CS/OE/SEN/RFID/CEDA/SYS",Joint Chapter,Active,IA034,IEEE Industry Applications Society,Society,Active
parent does not list unit as child,CH08887,"Russia Sc Jt Ch,AP/MTT/CS/OE/SEN/RFID/CEDA/SYS",Joint Chapter,Active,PEL035,IEEE Power Electronics Society,Society,Active
parent does not list unit as child,CH08887,"Russia Sc Jt Ch,AP/MTT/CS/OE/SEN/RFID/CEDA/SYS",Joint Chapter,Active,IM009,IEEE Instrumentation and Measurement Society,Society,Active
parent does not list unit as child,CH08887,"Russia Sc Jt Ch,AP/MTT/CS/OE/SEN/RFID/CEDA/SYS",Joint Chapter,Active,COM019,IEEE Communications Society,Society,Active
parent does not list unit as child,CH08887,"Russia Sc Jt Ch,AP/MTT/CS/OE/SEN/RFID/CEDA/SYS",Joint Chapter,Active,AP003,IEEE Antennas and Propagation Society,Society,Active
parent does not list unit as child,CH08887,"Russia Sc Jt Ch,AP/MTT/CS/OE/SEN/RFID/CEDA/SYS",Joint Chapter,Active,BT002,IEEE Broadcast Technology Society,Society,Active
parent does not list unit as child,CH08887,"Russia Sc Jt Ch,AP/MTT/CS/OE/SEN/RFID/CEDA/SYS",Joint Chapter,Active,MTT017,IEEE Microwave Theory and Technology Society,Society,Active
parent does not list unit as child,CH08887,"Russia Sc Jt Ch,AP/MTT/CS/OE/SEN/RFID/CEDA/SYS",Joint Chapter,Active,C016,IEEE Computer Society,Society,Active
